CardioMood Report

Date: 			3/17/19
Measurement time:	9:32 PM - 9:33 PM
Intervals count:	72 with 1 artifacts present (1%)
Tag: Measurement Mar 17, 2019 9:32 PM


Results:  

Time series parameters:
HR    =	71
mRR   = 843
SDNN  = 49.689313
RMSSD = 38.694542
pNN50 = 18.309859


Frequency analysis:
TP  =	2459.139302				ln TP  = 7.807567 
VLF =	655.156494	VLF% =	26.641699	ln VLF = 6.484874
LF  =	1202.139061	LF%  =	48.884545	ln LF  = 7.091858
HF  =	601.843747	HF%  =	24.473756	ln HF  = 6.399998

Spectral indicies:
LF/HF   =			1.997427
LF norm = LF/(LF+HF)*100% =	66.638055
HF norm = HF/(LF+HF)*100% =	33.361945
VLF/HF  =			1.088582			 
IC      = (VLF+LF)/HF =		3.086010

Histogram (50ms step):
Mo   =	800.000000
AMo% =	45.833333
SI   =	114.583333

Variation range (Var) =	250.000000
WN5   =	125.000000
WN1   =	984.375000
WN4   =	156.250000
WAM5  =	N/A
WAM10 = N/A

HRVTi =	7.200000 (step 1/128 s)

Poincare Plot params:
SD1   =	18.309900
SD2   =	64.726303
SD1/SD2 =	0.282900
S   =	N/A


The numbers above were calculated using following data:
   n  timestamp       rr   bpm
   1               0   812  74
   2            1024   825  73
   3            2001   861  70
   4            3025   860  70
   5            4000   783  77
   6            4783   795  75
   7            5579   805  75
   8            6385   827  73
   9            7213   907  66
  10            8121   911  66
  11            9033   849  71
  12            9995   888  68
  13           11020   880  68
  14           11900   905  66
  15           12806   855  70
  16           13662   811  74
  17           14474   801  75
  18           15276   796  75
  19           16073   800  75
  20           16873   896  67
  21           17770   959  63
  22           18730   877  68
  23           19608   813  74
  24           20422   791  76
  25           21214   790  76
  26           22004   835  72
  27           22840   829  72
  28           23670   811  74
  29           24482   914  66
  30           25397   978  61
  31           26462   962  62
  32           27461   885  68
  33           28458   854  70
  34           29454   832  72
  35           30286   852  70
  36           31139   890  67
  37           32030   867  69
  38           32898   919  65
  39           33818   928  65
  40           34747   937  64
  41           35685   888  68
  42           36574   845  71
  43           37419   833  72
  44           38253   845  71
  45           39099   805  75
  46           39905   812  74
  47           40718   816  74
  48           41535   836  72
  49           42421   924  65
  50           43345   910  66
  51           44417   841  71
  52           45259   842  71
  53           46102   856  70
  54           46959   824  73
  55           47783   809  74
  56           48593   798  75
  57           49392   794  76
  58           50187   791  76
  59           50979   780  77
  60           51759   776  77
  61           52536   757  79
  62           53294   771  78
  63           54066   815  74
  64           54882   848  71
  65           55730   833  72
  66           56564   806  74
  67           57371   808  74
  68           58180   810  74
  69           58991   793  76
  70           59784   800  75
  71           60585   814  74
  72           61400   838  72

