CardioMood Report

Date: 			3/17/19
Measurement time:	9:30 PM - 9:31 PM
Intervals count:	68 with 2 artifacts present (3%)
Tag: Measurement Mar 17, 2019 9:30 PM


Results:  

Time series parameters:
HR    =	67
mRR   = 891
SDNN  = 64.522213
RMSSD = 49.236711
pNN50 = 37.313433


Frequency analysis:
TP  =	4015.793016				ln TP  = 8.297990 
VLF =	1299.961754	VLF% =	32.371234	ln VLF = 7.170090
LF  =	2084.767417	LF%  =	51.914215	ln LF  = 7.642413
HF  =	631.063845	HF%  =	15.714551	ln HF  = 6.447407

Spectral indicies:
LF/HF   =			3.303576
LF norm = LF/(LF+HF)*100% =	76.763511
HF norm = HF/(LF+HF)*100% =	23.236489
VLF/HF  =			2.059953			 
IC      = (VLF+LF)/HF =		5.363529

Histogram (50ms step):
Mo   =	900.000000
AMo% =	32.352941
SI   =	59.912854

Variation range (Var) =	300.000000
WN5   =	195.312500
WN1   =	1023.437500
WN4   =	210.937500
WAM5  =	N/A
WAM10 = N/A

HRVTi =	9.714286 (step 1/128 s)

Poincare Plot params:
SD1   =	37.313400
SD2   =	84.345703
SD1/SD2 =	0.442400
S   =	N/A


The numbers above were calculated using following data:
   n  timestamp       rr   bpm
   1               0   812  74
   2            1026   786  76
   3            2002   814  74
   4            3021   903  66
   5            3998   951  63
   6            4949   949  63
   7            5899   907  66
   8            6807   862  70
   9            7670   908  66
  10            8579   857  70
  11            9437   870  69
  12           10308   847  71
  13           11155   858  70
  14           12014   800  75
  15           12815   818  73
  16           13634   797  75
  17           14432   804  75
  18           15236   767  78
  19           16004   750  80
  20           16755   739  81
  21           17495   805  75
  22           18301   882  68
  23           19184   939  64
  24           20124   862  70
  25           20986   888  68
  26           21875   902  67
  27           22778   889  67
  28           23668   896  67
  29           24565   883  68
  30           25449   988  61
  31           26438  1002  60
  32           27441   903  66
  33           28345   852  70
  34           29197   824  73
  35           30022   824  73
  36           30847   832  72
  37           31680   861  70
  38           32542   927  65
  39           33470  1014  59
  40           34485   951  63
  41           35437  1007  60
  42           36445   897  67
  43           37343   854  70
  44           38250   865  69
  45           39248   915  66
  46           40246   933  64
  47           41179   928  65
  48           42108   991  61
  49           43100   922  65
  50           44023   925  65
  51           44949   943  64
  52           45893   885  68
  53           46779   923  65
  54           47703  1019  59
  55           48723   929  65
  56           49653   985  61
  57           50639   947  63
  58           51587   946  63
  59           52534   903  66
  60           53438   894  67
  61           54333   920  65
  62           55254   978  61
  63           56233   927  65
  64           57160   963  62
  65           58124   909  66
  66           59034   883  68
  67           59918   821  73
  68           60740   841  71

