CardioMood Report

Date: 			3/17/19
Measurement time:	9:35 PM - 9:38 PM
Intervals count:	222 with 0 artifacts present (0%)
Tag: Measurement Mar 17, 2019 9:35 PM


Results:  

Time series parameters:
HR    =	73
mRR   = 820
SDNN  = 44.953148
RMSSD = 29.520757
pNN50 = 8.144796


Frequency analysis:
TP  =	2009.776517				ln TP  = 7.605779 
VLF =	848.379680	VLF% =	42.212638	ln VLF = 6.743328
LF  =	914.907597	LF%  =	45.522852	ln LF  = 6.818823
HF  =	246.489240	HF%  =	12.264510	ln HF  = 5.507318

Spectral indicies:
LF/HF   =			3.711755
LF norm = LF/(LF+HF)*100% =	78.776484
HF norm = HF/(LF+HF)*100% =	21.223516
VLF/HF  =			3.441853			 
IC      = (VLF+LF)/HF =		7.153608

Histogram (50ms step):
Mo   =	800.000000
AMo% =	36.486486
SI   =	91.216216

Variation range (Var) =	250.000000
WN5   =	93.750000
WN1   =	187.500000
WN4   =	132.812500
WAM5  =	N/A
WAM10 = N/A

HRVTi =	9.652174 (step 1/128 s)

Poincare Plot params:
SD1   =	8.144800
SD2   =	60.049198
SD1/SD2 =	0.135600
S   =	N/A


The numbers above were calculated using following data:
   n  timestamp       rr   bpm
   1               0   781  77
   2             781   793  76
   3            1575   798  75
   4            2374   791  76
   5            3166   807  74
   6            4047   849  71
   7            5023   854  70
   8            5877   861  70
   9            6739   883  68
  10            7623   860  70
  11            8484   830  72
  12            9315   854  70
  13           10170   849  71
  14           11020   819  73
  15           11839   857  70
  16           12697   882  68
  17           13580   816  74
  18           14397   793  76
  19           15191   779  77
  20           15970   784  77
  21           16755   773  78
  22           17529   817  73
  23           18347   868  69
  24           19216   828  72
  25           20044   823  73
  26           20868   788  76
  27           21657   781  77
  28           22439   797  75
  29           23237   814  74
  30           24051   802  75
  31           24854   770  78
  32           25625   749  80
  33           26375   753  80
  34           27128   764  79
  35           27893   772  78
  36           28666   766  78
  37           29433   751  80
  38           30184   742  81
  39           30927   745  81
  40           31673   753  80
  41           32427   764  79
  42           33191   759  79
  43           33951   772  78
  44           34724   788  76
  45           35513   805  75
  46           36319   770  78
  47           37089   764  79
  48           37854   765  78
  49           38620   770  78
  50           39391   769  78
  51           40230   769  78
  52           40999   792  76
  53           41792   838  72
  54           42631   863  70
  55           43495   833  72
  56           44329   847  71
  57           45176   791  76
  58           46215   770  78
  59           46986   763  79
  60           47750   760  79
  61           48510   752  80
  62           49263   744  81
  63           50008   755  79
  64           50764   854  70
  65           51627   954  63
  66           52582   890  67
  67           53473   835  72
  68           54308   813  74
  69           55122   828  72
  70           55951   824  73
  71           56776   875  69
  72           57652   816  74
  73           58469   877  68
  74           59346   854  70
  75           60201   801  75
  76           61003   787  76
  77           61791   773  78
  78           62564   777  77
  79           63342   771  78
  80           64114   775  77
  81           64890   799  75
  82           65690   837  72
  83           66528   802  75
  84           67330   820  73
  85           68151   841  71
  86           68993   876  68
  87           69870   874  69
  88           70745   833  72
  89           71579   866  69
  90           72649   892  67
  91           73541   871  69
  92           74413   850  71
  93           75264   814  74
  94           76079   803  75
  95           76883   775  77
  96           77659   789  76
  97           78448   813  74
  98           79262   906  66
  99           80169   870  69
 100           81040   871  69
 101           81912   885  68
 102           82798   872  69
 103           83671   844  71
 104           84515   843  71
 105           85359   813  74
 106           86173   800  75
 107           86974   812  74
 108           87787   847  71
 109           88634   810  74
 110           89445   790  76
 111           90236   784  77
 112           91021   804  75
 113           91826   796  75
 114           92622   815  74
 115           93438   784  77
 116           94223   783  77
 117           95007   779  77
 118           95786   765  78
 119           96552   754  80
 120           97307   746  80
 121           98054   745  81
 122           98799   736  82
 123           99536   734  82
 124          100271   745  81
 125          101017   794  76
 126          101812   824  73
 127          102636   858  70
 128          103495   816  74
 129          104312   827  73
 130          105140   835  72
 131          105976   814  74
 132          106791   817  73
 133          107609   846  71
 134          108455   883  68
 135          109339   865  69
 136          110205   911  66
 137          111117   883  68
 138          112001   843  71
 139          112845   806  74
 140          113651   855  70
 141          114507   836  72
 142          115344   793  76
 143          116138   794  76
 144          116933   817  73
 145          117751   848  71
 146          118599   838  72
 147          119438   835  72
 148          120274   846  71
 149          121121   807  74
 150          121929   790  76
 151          122719   772  78
 152          123492   761  79
 153          124254   768  78
 154          125023   809  74
 155          125833   813  74
 156          126646   808  74
 157          127455   796  75
 158          128252   787  76
 159          129040   786  76
 160          129827   803  75
 161          130630   820  73
 162          131451   792  76
 163          132244   816  74
 164          133061   782  77
 165          133843   757  79
 166          134601   776  77
 167          135378   790  76
 168          136169   782  77
 169          136952   803  75
 170          137756   814  74
 171          138571   860  70
 172          139507   907  66
 173          140482   908  66
 174          141390   938  64
 175          142329   911  66
 176          143241   837  72
 177          144079   813  74
 178          144893   807  74
 179          145700   809  74
 180          146510   838  72
 181          147349   868  69
 182          148218   917  65
 183          149136   919  65
 184          150056   851  71
 185          150908   869  69
 186          151778   887  68
 187          152666   878  68
 188          153544   904  66
 189          154449   903  66
 190          155353   836  72
 191          156190   779  77
 192          156970   768  78
 193          157738   766  78
 194          158505   787  76
 195          159293   876  68
 196          160170   809  74
 197          160980   818  73
 198          161798   831  72
 199          162630   807  74
 200          163438   818  73
 201          164257   834  72
 202          165092   883  68
 203          165976   856  70
 204          166833   876  68
 205          167709   855  70
 206          168565   824  73
 207          169390   819  73
 208          170210   825  73
 209          171036   859  70
 210          171896   844  71
 211          172741   867  69
 212          173608   877  68
 213          174486   878  68
 214          175365   855  70
 215          176221   861  70
 216          177083   869  69
 217          177953   830  72
 218          178784   824  73
 219          179608   835  72
 220          180444   883  68
 221          181328   896  67
 222          182225   868  69

