CardioMood Report

Date: 			3/28/19
Measurement time:	9:20 PM - 9:30 PM
Intervals count:	1609 with 0 artifacts present (0%)
Tag: Measurement Mar 28, 2019 9:20 PM


Results:  

Time series parameters:
HR    =	161
mRR   = 373
SDNN  = 9.317621
RMSSD = 5.047158
pNN50 = 0.248756


Frequency analysis:
TP  =	55.167790				ln TP  = 4.010379 
VLF =	35.212683	VLF% =	63.828337	ln VLF = 3.561406
LF  =	14.441769	LF%  =	26.177901	ln LF  = 2.670125
HF  =	5.513338	HF%  =	9.993763	ln HF  = 1.707170

Spectral indicies:
LF/HF   =			2.619424
LF norm = LF/(LF+HF)*100% =	72.371294
HF norm = HF/(LF+HF)*100% =	27.628706
VLF/HF  =			6.386817			 
IC      = (VLF+LF)/HF =		9.006241

Histogram (50ms step):
Mo   =	350.000000
AMo% =	99.627098
SI   =	2846.488502

Variation range (Var) =	50.000000
WN5   =	31.250000
WN1   =	46.875000
WN4   =	39.062500
WAM5  =	N/A
WAM10 = N/A

HRVTi =	3.394515 (step 1/128 s)

Poincare Plot params:
SD1   =	0.248800
SD2   =	12.684600
SD1/SD2 =	0.019600
S   =	N/A


The numbers above were calculated using following data:
   n  timestamp       rr   bpm
   1               0   400 150
   2             400   400 150
   3            1000   399 150
   4            1399   400 150
   5            1799   399 150
   6            2199   398 151
   7            2597   400 150
   8            3041   398 151
   9            3439   398 151
  10            3837   399 150
  11            4237   398 151
  12            4635   397 151
  13            5038   398 151
  14            5436   398 151
  15            5834   397 151
  16            6232   399 150
  17            6631   397 151
  18            7031   396 152
  19            7427   398 151
  20            7825   396 152
  21            8222   396 152
  22            8618   396 152
  23            9028   395 152
  24            9423   396 152
  25            9819   396 152
  26           10216   395 152
  27           10611   394 152
  28           11023   393 153
  29           11416   392 153
  30           11808   393 153
  31           12202   393 153
  32           12595   391 153
  33           13016   392 153
  34           13408   391 153
  35           13799   389 154
  36           14189   392 153
  37           14581   389 154
  38           14970   390 154
  39           15361   393 153
  40           15754   391 153
  41           16146   391 153
  42           16537   392 153
  43           16929   391 153
  44           17321   392 153
  45           17713   392 153
  46           18106   395 152
  47           18501   392 153
  48           18893   392 153
  49           19286   394 152
  50           19680   392 153
  51           20073   392 153
  52           20465   395 152
  53           20860   392 153
  54           21253   393 153
  55           21646   393 153
  56           22041   392 153
  57           22433   394 152
  58           22827   392 153
  59           23220   392 153
  60           23612   393 153
  61           24036   391 153
  62           24427   392 153
  63           24819   391 153
  64           25211   392 153
  65           25603   391 153
  66           25994   391 153
  67           26386   392 153
  68           26778   391 153
  69           27170   391 153
  70           27561   393 153
  71           27954   392 153
  72           28446   391 153
  73           28837   392 153
  74           29447   390 154
  75           29837   391 153
  76           30228   392 153
  77           30621   391 153
  78           31012   392 153
  79           31428   390 154
  80           31818   391 153
  81           32209   392 153
  82           32602   389 154
  83           32991   393 153
  84           33384   390 154
  85           33775   389 154
